TIME;AUD_FwsNumber;AUD_AlarmNumber;FCUALTSELOUT_simaplaw_a;FCUALTSELOUT_simaplaw_b;FCU_AltKnobIncrement;IR1OUT_a4_i_150_GPS_UTC_hours;IR1OUT_a4_i_150_GPS_UTC_minutes;IR1OUT_a4_i_150_GPS_UTC_seconds;BAP1ENGDOUT_simaplaw_a;B1FDENGDNCOUT_simaplaw_a;B1FDENGDNCOUT_simaplaw_b;BATHRENGDOUT;P_PEDALS_STEERING;P_PEDAL_LEFT_BRAKE;P_PEDAL_LEFT_BRAKE_PERCENT;P_PEDAL_RIGHT_BRAKE;P_PEDAL_RIGHT_BRAKE_PERCENT;P_THROTTLE_LEVER_ANGLE_ENGINE_1;P_THROTTLE_LEVER_ANGLE_ENGINE_2;P_THROTTLE_LEVER_ANGLE_ENGINE_3;P_THROTTLE_LEVER_ANGLE_ENGINE_4;P_LEFT_SIDESTICK_TRIGGER_PRESSED;P_LG_PANEL_ANTI_SKID_POSITION_SELECTED;P_LG_PANEL_GEAR_DOWN_REQUEST;P_LG_PANEL_GEAR_UP_REQUEST;P_LG_PANEL_RTO_BUTTON_PRESSED;P_LEFT_SIDESTICK_PITCH_CTRL;P_LEFT_SIDESTICK_ROLL_CTRL;P_RIGHT_SIDESTICK_PITCH_CTRL;P_RIGHT_SIDESTICK_ROLL_CTRL;CKT_Engine1MasterLeverOn;CKT_Engine2MasterLeverOn;CKT_ThrustLeverAngle[0];CKT_ThrustLeverAngle[1];CKT_ThrustLeverAngle[2];CKT_ThrustLeverAngle[3];P_TRIM_CP_RUDDER_RESET;P_FLAPS_BOOLEAN_1;P_FLAPS_BOOLEAN_2;P_FLAPS_BOOLEAN_3;P_FLAPS_BOOLEAN_4;P_FLAPS_BOOLEAN_5;P_GLS_L_MASTER_CAUTION_BUTTON_PUSHED;P_GLS_R_MASTER_WARNING_BUTTON_PUSHED;FCU_LeftBaroSetting;ALTFCU;BGOTOFCUOUT_simaplaw_a;FCGS_FcuVerticalSpeedSelect;FCGS_HdgTrkTargetToBeDisplayedOnFcu;FCUALTSELPROUT_simaplaw_a;FCULATSELPROUT_simaplaw_a;FCUMACHSELOUT_simaplaw_a;FCUMODEOUT_simaplaw_a;FCURANGEOUT_simaplaw_a;FCUSPDSELOUT_simaplaw_a;FCUSPDSELPROUT_simaplaw_a;FCUVSSELPROUT_simaplaw_a;FCU_AltRateSelector;FCU_RightBaroSetting;FCU_AdaptRangeCpt10Nm;FCU_AdaptRangeCpt20Nm;FCU_AdaptRangeCpt40Nm;FCU_AdaptRangeFo10Nm;FCU_AdaptRangeFo20Nm;ALTITUDE;SPEED;AOI;AlarmActive;AOIpT
357.04;0.0;0.0;10000.0;10000.0;0.0;10.0;35.0;12.0;1.0;1.0;1.0;1.0;0.12841;0.0;0.0;0.0;0.0;0.06427000000000001;0.07498200000000001;-0.021423;0.042847;0.0;1.0;0.0;1.0;0.0;0.024205;0.07094400000000001;-0.070367;0.024558;1.0;1.0;25.887;25.887;24.663;24.663;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;29.91;10000.0;1.0;3500.0;138.0;100.0;138.0;1.0;4.0;8.0;100.0;100.0;35.0;1.0;29.91;1.0;0.0;0.0;0.0;1.0;9691.16961948372;248.2126968452211;;0;
357.05;0.0;0.0;10000.0;10000.0;0.0;10.0;35.0;12.0;1.0;1.0;1.0;1.0;0.13155999999999998;0.0;0.0;0.0;0.0;0.06427000000000001;0.08569299999999999;-0.07498200000000001;0.08569299999999999;0.0;1.0;0.0;1.0;0.0;0.03228;0.064188;-0.069214;0.023447;1.0;1.0;25.887;25.887;24.663;24.663;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;29.91;10000.0;1.0;3500.0;138.0;100.0;138.0;1.0;4.0;8.0;100.0;100.0;35.0;1.0;29.91;1.0;0.0;0.0;0.0;1.0;9691.370587030313;248.21444630496495;;0;
357.06;0.0;0.0;10000.0;10000.0;0.0;10.0;35.0;12.0;1.0;1.0;1.0;1.0;0.13155999999999998;0.0;0.0;0.0;0.0;0.053558;0.06427000000000001;0.053558;-0.010712;0.0;1.0;0.0;1.0;0.0;0.031126;0.10135;-0.069214;0.023447;1.0;1.0;25.887;25.887;24.663;24.663;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;29.91;10000.0;1.0;3500.0;138.0;100.0;138.0;1.0;4.0;8.0;100.0;100.0;35.0;1.0;29.91;1.0;0.0;0.0;0.0;1.0;9691.571468085036;248.21619496494299;;0;
357.07;0.0;0.0;10000.0;10000.0;0.0;10.0;35.0;12.0;1.0;1.0;1.0;1.0;0.12212;0.0;0.0;0.0;0.0;0.07498200000000001;0.07498200000000001;-0.010712;0.021423;0.0;1.0;0.0;1.0;0.0;0.050737;0.034909;-0.069214;0.025668;1.0;1.0;25.887;25.887;24.663;24.663;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;29.91;10000.0;1.0;3500.0;138.0;100.0;138.0;1.0;4.0;8.0;100.0;100.0;35.0;1.0;29.91;1.0;0.0;0.0;0.0;1.0;9691.772262632694;248.21794282507017;;0;
357.08;0.0;0.0;10000.0;10000.0;0.0;10.0;35.0;12.0;1.0;1.0;1.0;1.0;0.13155999999999998;0.0;0.0;0.0;0.0;0.053558;0.06427000000000001;0.0;0.032135000000000004;0.0;1.0;0.0;1.0;0.0;0.069194;0.060809;-0.070367;0.024558;1.0;1.0;25.887;25.887;24.663;24.663;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;29.91;10000.0;1.0;3500.0;138.0;100.0;138.0;1.0;4.0;8.0;100.0;100.0;35.0;1.0;29.91;1.0;0.0;0.0;0.0;1.0;9691.972970658087;248.21968988526163;;0;
357.09;0.0;0.0;10000.0;10000.0;0.0;10.0;35.0;12.0;1.0;1.0;1.0;1.0;0.1347;0.0;0.0;0.0;0.0;0.07498200000000001;0.07498200000000001;-0.042847;0.053558;0.0;1.0;0.0;1.0;0.0;0.017283;0.034909;-0.069214;0.025668;1.0;1.0;25.887;25.887;24.663;24.663;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;29.91;10000.0;1.0;3500.0;138.0;100.0;138.0;1.0;4.0;8.0;100.0;100.0;35.0;1.0;29.91;1.0;0.0;0.0;0.0;1.0;9692.173592146024;248.22143614543248;;0;
357.1;0.0;0.0;10000.0;10000.0;0.0;10.0;35.0;12.0;1.0;1.0;1.0;1.0;0.1347;0.0;0.0;0.0;0.0;0.053558;0.08569299999999999;0.053558;-0.010712;0.0;1.0;0.0;1.0;0.0;0.069194;0.067566;-0.06806;0.024558;1.0;1.0;25.887;25.887;24.663;24.663;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;29.91;10000.0;1.0;3500.0;138.0;100.0;138.0;1.0;4.0;8.0;100.0;100.0;35.0;1.0;29.91;1.0;0.0;0.0;0.0;1.0;9692.374127081308;248.22318160549764;;0;
357.11;0.0;0.0;10000.0;10000.0;0.0;10.0;35.0;12.0;1.0;1.0;1.0;1.0;0.12841;0.0;0.0;0.0;0.0;0.053558;0.07498200000000001;0.032135000000000004;0.021423;0.0;1.0;0.0;1.0;0.0;0.03228;-0.0011261;-0.070367;0.024558;1.0;1.0;25.887;25.887;24.663;24.663;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;29.91;10000.0;1.0;3500.0;138.0;100.0;138.0;1.0;4.0;8.0;100.0;100.0;35.0;1.0;29.91;1.0;0.0;0.0;0.0;1.0;9692.574575448742;248.22492626537235;;0;
357.12;0.0;0.0;10000.0;10000.0;0.0;10.0;35.0;12.0;1.0;1.0;1.0;1.0;0.13155999999999998;0.0;0.0;0.0;0.0;0.053558;0.07498200000000001;0.021423;0.010712;0.0;1.0;0.0;1.0;0.0;0.036894;-0.0011261;-0.070367;0.023447;1.0;1.0;25.887;25.887;24.663;24.663;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;29.91;10000.0;1.0;3500.0;138.0;100.0;138.0;1.0;4.0;8.0;100.0;100.0;35.0;1.0;29.91;1.0;0.0;0.0;0.0;1.0;9692.774937233131;248.22667012497152;;0;
357.13;0.0;0.0;10000.0;10000.0;0.0;10.0;35.0;12.0;1.0;1.0;1.0;1.0;0.12841;0.0;0.0;0.0;0.0;0.08569299999999999;0.07498200000000001;-0.021423;0.032135000000000004;0.0;1.0;0.0;1.0;0.0;-0.0011739;-0.0011261;-0.070367;0.024558;1.0;1.0;25.887;25.887;24.663;24.663;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;29.91;10000.0;1.0;3500.0;138.0;100.0;138.0;1.0;4.0;8.0;100.0;100.0;35.0;1.0;29.91;1.0;0.0;0.0;0.0;1.0;9692.975212419278;248.22841318421032;;0;
357.14;0.0;0.0;10000.0;10000.0;0.0;10.0;35.0;12.0;1.0;1.0;1.0;1.0;0.13155999999999998;0.0;0.0;0.0;0.0;0.06427000000000001;0.08569299999999999;0.021423;0.010712;0.0;1.0;0.0;1.0;0.0;-0.035781;-0.037161;-0.069214;0.025668;1.0;1.0;25.887;25.887;24.663;24.663;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;29.91;10000.0;1.0;3500.0;138.0;100.0;138.0;1.0;4.0;8.0;100.0;100.0;35.0;1.0;29.91;1.0;0.0;0.0;0.0;1.0;9693.175400991988;248.23015544300375;;0;
357.15;0.0;0.0;10000.0;10000.0;0.0;10.0;35.0;12.0;1.0;1.0;1.0;1.0;0.12527;0.0;0.0;0.0;0.0;0.06427000000000001;0.06427000000000001;0.053558;0.0;0.0;1.0;0.0;1.0;0.0;-0.013863;0.012387;-0.069214;0.024558;1.0;1.0;25.887;25.887;24.663;24.663;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;29.91;10000.0;1.0;3500.0;138.0;100.0;138.0;1.0;4.0;8.0;100.0;100.0;35.0;1.0;29.91;1.0;0.0;0.0;0.0;1.0;9693.375502936065;248.2318969012669;;0;
