Participant,Time.alert,L.focus,M.focus,R.focus,correct.focus,Time.focus,L.action.1,M.action.1,R.action.1,Time.action.1,lowertime.action.1,ticktime.action.1,uppertime.action.1,correct.1,L.action.2,M.action.2,R.action.2,Time.action.2,lowertime.action.2,ticktime.action.2,uppertime.action.2,correct.2,failed.action.1,failed.action.2,Runtime
5,20445,ND,PFD,MFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,failedFocus,nan,nan,nan,nan,nan,nan,nan,failedFocus,0,0,7
7,20445,nan,PFD,MFD,PFD,21465,l,m,s,37130,7,12,13,successful-1,l,nan,s,40910,13,20,19,successful-2,2,1,7
4,20470,ND,PFD,MFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,failedFocus,nan,nan,nan,nan,nan,nan,nan,failedFocus,0,0,8
2,20445,nan,PFD,MFD,PFD,21465,l,m,nan,42530,14,20,20,successful-1,l,m,s,62210,19,41,25,failed-2,1,8,8
10,20440,nan,PFD,MFD,PFD,21460,l,m,nan,40500,14,18,20,successful-1,l,m,s,47600,19,27,25,successful-2,1,2,8
3,20445,nan,nan,MFD,MFD,21080,l,m,s,35430,7,11,13,successful-1,l,m,s,41940,13,21,19,successful-2,2,2,8
13,20445,ND,PFD,MFD,ND,21850,l,nan,nan,49405,22,28,28,successful-1,l,m,s,61385,34,39,40,successful-2,0,2,8
9,20470,ND,PFD,MFD,ND,21875,l,nan,nan,42610,22,22,28,successful-1,l,m,s,62720,34,42,40,failed-2,0,8,8
7,20445,nan,PFD,MFD,PFD,21465,l,m,s,37130,7,12,13,successful-1,l,nan,s,40910,13,20,19,successful-2,2,1,8
5,20435,ND,PFD,MFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,failedFocus,nan,nan,nan,nan,nan,nan,nan,failedFocus,0,0,8
13,20445,ND,PFD,MFD,ND,21850,l,nan,nan,49300,22,28,28,successful-1,l,m,s,63440,34,42,40,failed-2,0,5,9
9,20435,ND,PFD,MFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,failedFocus,nan,nan,nan,nan,nan,nan,nan,failedFocus,0,0,9
5,20445,ND,PFD,MFD,ND,21850,l,nan,nan,44090,22,23,28,successful-1,l,m,s,60905,34,40,40,successful-2,0,2,9
2,20445,nan,PFD,MFD,PFD,21465,l,m,nan,42530,14,20,20,successful-1,l,m,s,62210,19,41,25,failed-2,1,8,9
3,20445,nan,nan,MFD,MFD,21080,l,m,s,35430,7,11,13,successful-1,l,m,s,42130,13,21,19,successful-2,2,2,9
10,20440,nan,PFD,MFD,PFD,21460,l,m,nan,40500,14,18,20,successful-1,l,m,s,48280,19,27,25,successful-2,1,2,9
4,20445,ND,PFD,MFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,failedFocus,nan,nan,nan,nan,nan,nan,nan,failedFocus,0,0,9
7,20445,nan,PFD,MFD,PFD,21465,l,m,s,37130,7,12,13,successful-1,l,nan,s,40910,13,20,19,successful-2,2,1,9
3,20445,nan,nan,MFD,MFD,21080,l,m,s,35430,7,11,13,successful-1,l,m,s,41170,13,20,19,successful-2,2,2,10
4,20445,ND,PFD,MFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,failedFocus,nan,nan,nan,nan,nan,nan,nan,failedFocus,0,0,10
10,20440,nan,PFD,MFD,PFD,21460,l,m,nan,40500,14,18,20,successful-1,l,m,s,61885,19,41,25,failed-2,1,8,10
7,20445,nan,PFD,MFD,PFD,21465,l,m,s,37130,7,12,13,successful-1,l,nan,s,40910,13,20,19,successful-2,2,1,10
