Participant,Time.alert,NaN,NaN,NaN,NaN,NaN,NaN,NaN,N.action.1,Time.action.1,lowertime.action.1,ticktime.action.1,uppertime.action.1,correct.1,NaN,NaN,N.action.2,Time.action.2,lowertime.action.2,ticktime.action.2,uppertime.action.2,correct.2,failed.action.1,failed.action.2,Runtime
2,20445,normative,nan,nan,nan,nan,nan,nan,n,40640,15,19,21,successful-1,nan,nan,n,47480,22,26,28,successful,0,0,11
4,20480,normative,nan,nan,nan,nan,nan,nan,n,29005,15,8,21,failed-1,nan,nan,n,38345,22,17,28,failed-2,0,0,11
13,20445,normative,nan,nan,nan,nan,nan,nan,n,42850,15,22,21,failed-1,nan,nan,n,49640,22,29,28,failed-2,0,0,11
10,20440,normative,nan,nan,nan,nan,nan,nan,n,38655,15,18,21,successful-1,nan,nan,n,43660,22,23,28,successful,0,0,11
5,20435,normative,nan,nan,nan,nan,nan,nan,n,42105,15,22,21,failed-1,nan,nan,n,48895,22,29,28,failed-2,0,0,11
9,20460,normative,nan,nan,nan,nan,nan,nan,n,42470,15,22,21,failed-1,nan,nan,n,50355,22,30,28,failed-2,0,0,11
3,20445,normative,nan,nan,nan,nan,nan,nan,n,31595,15,11,21,failed-1,nan,nan,n,37635,22,16,28,failed-2,0,0,11
7,20445,normative,nan,nan,nan,nan,nan,nan,n,33850,15,13,21,failed-1,nan,nan,n,37640,22,17,28,failed-2,0,0,11
7,20445,normative,nan,nan,nan,nan,nan,nan,n,33850,15,13,21,failed-1,nan,nan,n,37640,22,17,28,failed-2,0,0,12
10,20440,normative,nan,nan,nan,nan,nan,nan,n,38655,15,18,21,successful-1,nan,nan,n,43660,22,23,28,successful,0,0,12
4,20445,normative,nan,nan,nan,nan,nan,nan,n,28980,15,8,21,failed-1,nan,nan,n,36885,22,16,28,failed-2,0,0,12
13,20445,normative,nan,nan,nan,nan,nan,nan,n,42850,15,22,21,failed-1,nan,nan,n,49975,22,29,28,failed-2,0,0,12
2,20445,normative,nan,nan,nan,nan,nan,nan,n,40640,15,19,21,successful-1,nan,nan,n,47480,22,26,28,successful,0,0,12
5,20445,normative,nan,nan,nan,nan,nan,nan,n,42790,15,22,21,failed-1,nan,nan,n,50000,22,29,28,failed-2,0,0,12
3,20445,normative,nan,nan,nan,nan,nan,nan,n,31595,15,11,21,failed-1,nan,nan,n,37635,22,17,28,failed-2,0,0,12
9,20435,normative,nan,nan,nan,nan,nan,nan,n,42765,15,22,21,failed-1,nan,nan,n,47815,22,27,28,successful,0,0,12
