Participant,Time.alert,L.focus,M.focus,R.focus,correct.focus,Time.focus,L.action.1,M.action.1,R.action.1,Time.action.1,lowertime.action.1,ticktime.action.1,uppertime.action.1,correct.1,L.action.2,M.action.2,R.action.2,Time.action.2,lowertime.action.2,ticktime.action.2,uppertime.action.2,correct.2,failed.action.1,failed.action.2,Runtime
4,20445,ND,nan,MFD,MFD,21465,nan,nan,s,28955,7,8,13,successful-1,nan,nan,s,37095,13,16,19,successful-2,0,0,7
9,20435,ND,PFD,MFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,failedFocus,nan,nan,nan,nan,nan,nan,nan,failedFocus,0,0,7
13,20445,ND,nan,nan,ND,21080,l,nan,nan,49385,22,28,28,successful-1,l,m,s,63710,13,42,19,failed-2,0,5,7
7,20445,nan,PFD,nan,PFD,21080,l,m,s,42860,7,13,13,successful-1,nan,m,s,54100,19,34,25,successful-2,5,5,7
3,20445,nan,PFD,MFD,MFD,25315,nan,nan,s,31335,7,10,13,successful-1,nan,nan,s,37705,13,16,19,successful-2,0,0,7
10,20440,ND,PFD,MFD,PFD,27235,nan,m,nan,38820,14,18,20,successful-1,nan,m,nan,46005,19,25,25,successful-2,0,0,7
2,20445,nan,PFD,nan,PFD,21080,nan,m,nan,40515,14,19,20,successful-1,l,m,nan,62400,34,41,40,failed-2,0,8,7
13,20445,ND,PFD,MFD,ND,21850,l,nan,nan,49600,22,29,28,failed-1,l,m,s,61525,34,41,40,failed-2,0,4,8
10,20440,nan,PFD,nan,PFD,21075,l,m,s,42380,14,18,20,successful-1,nan,m,nan,44300,19,23,25,successful-2,2,0,8
4,20445,ND,nan,MFD,MFD,21465,nan,m,s,30820,7,8,13,successful-1,l,nan,s,38520,13,18,19,successful-2,1,1,8
3,20445,nan,nan,MFD,MFD,21080,nan,nan,s,31690,7,11,13,successful-1,nan,m,s,39810,13,19,19,successful-2,0,1,8
7,20445,ND,PFD,MFD,PFD,21850,l,m,s,37280,7,13,13,successful-1,nan,nan,s,39200,13,18,19,successful-2,2,0,8
2,20445,ND,PFD,MFD,PFD,21850,nan,m,nan,40620,14,20,20,successful-1,l,m,s,62230,34,42,40,failed-2,0,8,8
9,20450,ND,PFD,MFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,failedFocus,nan,nan,nan,nan,nan,nan,nan,failedFocus,0,0,8
5,20435,ND,PFD,MFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,failedFocus,nan,nan,nan,nan,nan,nan,nan,failedFocus,0,0,8
13,20445,ND,PFD,MFD,ND,21850,l,nan,nan,49300,22,28,28,successful-1,l,m,s,60030,34,39,40,successful-2,0,2,9
5,20435,ND,PFD,MFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,failedFocus,nan,nan,nan,nan,nan,nan,nan,failedFocus,0,0,9
10,20440,ND,PFD,nan,PFD,21460,nan,m,nan,38635,14,18,20,successful-1,nan,m,nan,43640,19,23,25,successful-2,0,0,9
7,20445,nan,PFD,nan,PFD,21080,nan,m,s,37270,7,13,13,successful-1,nan,nan,s,39180,13,18,19,successful-2,2,0,9
3,20445,nan,nan,MFD,MFD,21080,nan,nan,s,31690,7,11,13,successful-1,l,m,s,48380,19,27,25,successful-2,0,4,9
2,20445,nan,PFD,nan,PFD,21080,nan,m,nan,40515,14,19,20,successful-1,l,m,s,62400,34,41,40,failed-2,0,8,9
9,20470,ND,PFD,MFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,failedFocus,nan,nan,nan,nan,nan,nan,nan,failedFocus,0,0,9
4,20445,ND,PFD,MFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,failedFocus,nan,nan,nan,nan,nan,nan,nan,failedFocus,0,0,9
7,20445,nan,PFD,MFD,PFD,21465,l,m,s,37130,7,12,13,successful-1,l,nan,s,40910,13,20,19,successful-2,2,1,10
13,20445,ND,PFD,nan,ND,21465,l,nan,s,51070,22,30,28,failed-1,l,m,s,63270,19,42,25,failed-2,1,5,10
3,20445,nan,nan,MFD,MFD,21080,nan,nan,s,31690,7,11,13,successful-1,l,m,nan,42010,19,21,25,successful-2,0,1,10
9,20435,ND,PFD,MFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,failedFocus,nan,nan,nan,nan,nan,nan,nan,failedFocus,0,0,10
2,20445,ND,PFD,MFD,PFD,21850,nan,m,nan,40620,14,20,20,successful-1,l,m,s,62230,13,41,19,failed-2,0,8,10
10,20440,nan,PFD,nan,PFD,21075,nan,m,nan,38655,14,18,20,successful-1,nan,m,nan,43660,19,23,25,successful-2,0,0,10
5,20445,ND,PFD,MFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,failedFocus,nan,nan,nan,nan,nan,nan,nan,failedFocus,0,0,10
4,20445,ND,PFD,MFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,failedFocus,nan,nan,nan,nan,nan,nan,nan,failedFocus,0,0,10
10,20440,nan,PFD,MFD,PFD,21460,l,m,nan,40500,14,18,20,successful-1,l,m,s,48090,19,27,25,successful-2,1,2,11
5,20435,ND,nan,MFD,ND,21455,l,m,nan,45880,22,23,28,successful-1,l,nan,s,60340,34,39,40,successful-2,1,1,11
2,20445,nan,PFD,nan,PFD,21080,l,m,nan,42370,14,20,20,successful-1,l,m,s,63070,19,42,25,failed-2,1,7,11
13,20445,ND,nan,nan,ND,21080,l,nan,nan,49175,22,28,28,successful-1,l,m,s,63210,34,42,40,failed-2,0,5,11
4,20445,ND,PFD,MFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,failedFocus,nan,nan,nan,nan,nan,nan,nan,failedFocus,0,0,11
9,20450,ND,PFD,nan,ND,21470,l,nan,nan,42860,22,22,28,successful-1,l,m,s,62660,34,42,40,failed-2,0,6,11
7,20445,nan,PFD,nan,PFD,21080,nan,m,s,41000,7,12,13,successful-1,l,m,s,55970,19,34,25,successful-2,4,7,11
3,20445,nan,PFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,failedFocus,nan,nan,nan,nan,nan,nan,nan,failedFocus,0,0,11
4,20480,ND,PFD,MFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,failedFocus,nan,nan,nan,nan,nan,nan,nan,failedFocus,0,0,12
5,20445,ND,PFD,MFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,failedFocus,nan,nan,nan,nan,nan,nan,nan,failedFocus,0,0,12
2,20445,nan,PFD,nan,PFD,21080,nan,m,nan,40515,14,19,20,successful-1,l,m,s,62460,13,41,19,failed-2,0,7,12
9,20450,ND,PFD,MFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,failedFocus,nan,nan,nan,nan,nan,nan,nan,failedFocus,0,0,12
10,20440,nan,PFD,nan,PFD,21075,nan,m,nan,38655,14,17,20,successful-1,nan,m,nan,43660,19,22,25,successful-2,0,0,12
13,20445,ND,PFD,MFD,ND,28780,l,nan,nan,49385,22,28,28,successful-1,l,m,nan,63710,19,42,25,failed-2,0,5,12
7,20445,ND,nan,MFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,failedFocus,nan,nan,nan,nan,nan,nan,nan,failedFocus,0,0,12
3,20445,nan,nan,MFD,MFD,21080,nan,nan,s,31690,7,11,13,successful-1,nan,nan,s,37745,13,17,19,successful-2,0,0,12
