TIME;AUD_FwsNumber;AUD_AlarmNumber;FCUALTSELOUT_simaplaw_a;FCUALTSELOUT_simaplaw_b;FCU_AltKnobIncrement;IR1OUT_a4_i_150_GPS_UTC_hours;IR1OUT_a4_i_150_GPS_UTC_minutes;IR1OUT_a4_i_150_GPS_UTC_seconds;BAP1ENGDOUT_simaplaw_a;B1FDENGDNCOUT_simaplaw_a;B1FDENGDNCOUT_simaplaw_b;BATHRENGDOUT;P_PEDALS_STEERING;P_THROTTLE_LEVER_ANGLE_ENGINE_1;P_THROTTLE_LEVER_ANGLE_ENGINE_2;P_THROTTLE_LEVER_ANGLE_ENGINE_3;P_THROTTLE_LEVER_ANGLE_ENGINE_4;P_RIGHT_SIDESTICK_TRIGGER_PRESSED;P_LG_PANEL_ANTI_SKID_POSITION_SELECTED;P_LG_PANEL_GEAR_DOWN_REQUEST;P_LG_PANEL_GEAR_UP_REQUEST;P_LEFT_SIDESTICK_PITCH_CTRL;P_LEFT_SIDESTICK_ROLL_CTRL;P_RIGHT_SIDESTICK_PITCH_CTRL;P_RIGHT_SIDESTICK_ROLL_CTRL;CKT_Engine1MasterLeverOn;CKT_Engine2MasterLeverOn;CKT_ThrustLeverAngle[0];CKT_ThrustLeverAngle[1];CKT_ThrustLeverAngle[2];CKT_ThrustLeverAngle[3];P_FLAPS_BOOLEAN_1;P_FLAPS_BOOLEAN_2;P_FLAPS_BOOLEAN_3;P_FLAPS_BOOLEAN_4;P_FLAPS_BOOLEAN_5;FCU_LeftBaroSetting;ALTFCU;BGOTOFCUOUT_simaplaw_a;BMACHFCUSELOUT_simaplaw_a;FCGS_FcuVerticalSpeedSelect;FCGS_HdgTrkTargetToBeDisplayedOnFcu;FCUALTSELPROUT_simaplaw_a;FCULATSELPROUT_simaplaw_a;FCUMACHSELOUT_simaplaw_a;FCUMODEOUT_simaplaw_a;FCURANGEOUT_simaplaw_a;FCUSPDSELOUT_simaplaw_a;FCUSPDSELPROUT_simaplaw_a;FCUVSSELPROUT_simaplaw_a;FCU_AltRateSelector;FCU_RightBaroSetting;FCU_AdaptRangeCpt20Nm;FCU_AdaptRangeCpt40Nm;FCU_AdaptRangeFo10Nm;FCU_AdaptRangeFo20Nm;ALTITUDE;SPEED;AOI;AlarmActive;Action
888.64;0.0;0.0;2000.0;2000.0;0.0;16.0;3.0;0.0;0.0;1.0;1.0;1.0;0.53398;0.06427000000000001;0.09640499999999999;-0.19280999999999998;0.17139000000000001;0.0;1.0;1.0;0.0;1.8226;0.35923;-0.061139;0.052328999999999994;0.0;1.0;0.0;0.0;34.733000000000004;34.733000000000004;0.0;1.0;1.0;0.0;0.0;29.91;2000.0;0.0;0.0;-2900.0;61.0;20.0;61.0;0.99;4.0;8.0;100.0;100.0;-29.0;1.0;29.91;1.0;0.0;0.0;1.0;783.2972180199138;130.5348727450837;;0;0
888.65;0.0;0.0;2000.0;2000.0;0.0;16.0;3.0;0.0;0.0;1.0;1.0;1.0;0.5371199999999999;0.08569299999999999;0.09640499999999999;-0.1821;0.16068;0.0;1.0;1.0;0.0;1.7107;0.39639;-0.063446;0.05455;0.0;1.0;0.0;0.0;34.733000000000004;34.733000000000004;0.0;1.0;1.0;0.0;0.0;29.91;2000.0;0.0;0.0;-2900.0;61.0;20.0;61.0;0.99;4.0;8.0;100.0;100.0;-29.0;1.0;29.91;1.0;0.0;0.0;1.0;783.1334121247281;130.52962329000428;;0;0
888.66;0.0;0.0;2000.0;2000.0;0.0;16.0;3.0;0.0;0.0;1.0;1.0;1.0;0.53398;0.06427000000000001;0.10712;-0.17139000000000001;0.17139000000000001;0.0;1.0;1.0;0.0;1.6184;0.34121;-0.062291999999999986;0.052328999999999994;0.0;1.0;0.0;0.0;34.733000000000004;34.733000000000004;0.0;1.0;1.0;0.0;0.0;29.91;2000.0;0.0;0.0;-2900.0;61.0;20.0;61.0;0.99;4.0;8.0;100.0;100.0;-29.0;1.0;29.91;1.0;0.0;0.0;1.0;782.9696263694208;130.5243737610402;;0;0
888.67;0.0;0.0;2000.0;2000.0;0.0;16.0;3.0;0.0;0.0;1.0;1.0;1.0;0.54027;0.07498200000000001;0.09640499999999999;-0.1821;0.17139000000000001;0.0;1.0;1.0;0.0;1.5458;0.35585;-0.063446;0.052328999999999994;0.0;1.0;0.0;0.0;34.733000000000004;34.733000000000004;0.0;1.0;1.0;0.0;0.0;29.91;2000.0;0.0;0.0;-2900.0;61.0;20.0;61.0;0.99;4.0;8.0;100.0;100.0;-29.0;1.0;29.91;1.0;0.0;0.0;1.0;782.8058607552142;130.5191241581943;;0;0
888.68;0.0;0.0;2000.0;2000.0;0.0;16.0;3.0;0.0;0.0;1.0;1.0;1.0;0.53398;0.06427000000000001;0.09640499999999999;-0.1821;0.1821;0.0;1.0;1.0;0.0;1.4719;0.29616;-0.0646;0.048996;0.0;1.0;0.0;0.0;34.733000000000004;34.733000000000004;0.0;1.0;1.0;0.0;0.0;29.91;2000.0;0.0;0.0;-2900.0;61.0;20.0;61.0;0.99;4.0;8.0;100.0;100.0;-29.0;1.0;29.91;1.0;0.0;0.0;1.0;782.6421152833334;130.51387448146954;;0;0
888.69;0.0;0.0;2000.0;2000.0;0.0;16.0;3.0;0.0;0.0;1.0;1.0;1.0;0.54027;0.08569299999999999;0.11782999999999999;-0.1821;0.17139000000000001;0.0;1.0;1.0;0.0;1.3139;0.3108;-0.061139;0.05121799999999999;0.0;1.0;0.0;0.0;34.733000000000004;34.733000000000004;0.0;1.0;1.0;0.0;0.0;29.91;2000.0;0.0;0.0;-2900.0;61.0;20.0;61.0;0.99;4.0;8.0;100.0;100.0;-29.0;1.0;29.91;1.0;0.0;0.0;1.0;782.478389955;130.50862473086892;;0;0
888.7;0.0;0.0;2000.0;2000.0;0.0;16.0;3.0;0.0;0.0;1.0;1.0;1.0;0.5371199999999999;0.06427000000000001;0.09640499999999999;-0.1821;0.14995999999999998;0.0;1.0;1.0;0.0;1.2458;0.24999000000000002;-0.061139;0.05121799999999999;0.0;1.0;0.0;0.0;34.733000000000004;34.733000000000004;0.0;1.0;1.0;0.0;0.0;29.91;2000.0;0.0;0.0;-2900.0;61.0;20.0;61.0;0.99;4.0;8.0;100.0;100.0;-29.0;1.0;29.91;1.0;0.0;0.0;1.0;782.3146847714377;130.5033749063953;;0;0
888.71;0.0;0.0;2000.0;2000.0;0.0;16.0;3.0;0.0;0.0;1.0;1.0;1.0;0.54027;0.08569299999999999;0.10712;-0.1821;0.16068;0.0;1.0;1.0;0.0;1.1951;0.23535;-0.063446;0.052328999999999994;0.0;1.0;0.0;0.0;34.733000000000004;34.733000000000004;0.0;1.0;1.0;0.0;0.0;29.91;2000.0;0.0;0.0;-2900.0;61.0;20.0;61.0;0.99;4.0;8.0;100.0;100.0;-29.0;1.0;29.91;1.0;0.0;0.0;1.0;782.1509997338696;130.49812500805157;;0;0
888.72;0.0;0.0;2000.0;2000.0;0.0;16.0;3.0;0.0;0.0;1.0;1.0;1.0;0.5371199999999999;0.07498200000000001;0.10712;-0.1821;0.16068;0.0;1.0;1.0;0.0;1.112;0.19819;-0.062291999999999986;0.05121799999999999;0.0;1.0;0.0;0.0;34.733000000000004;34.733000000000004;0.0;1.0;1.0;0.0;0.0;29.91;2000.0;0.0;0.0;-2900.0;61.0;20.0;61.0;0.99;4.0;8.0;100.0;100.0;-29.0;1.0;29.91;1.0;0.0;0.0;1.0;781.9873348435202;130.49287503584088;;0;0
888.73;0.0;0.0;2000.0;2000.0;0.0;16.0;3.0;0.0;0.0;1.0;1.0;1.0;0.54027;0.08569299999999999;0.11782999999999999;-0.1821;0.1821;0.0;1.0;1.0;0.0;1.0186;0.07094400000000001;-0.061139;0.05121799999999999;0.0;1.0;0.0;0.0;34.733000000000004;34.733000000000004;0.0;1.0;1.0;0.0;0.0;29.91;2000.0;0.0;0.0;-2900.0;61.0;20.0;61.0;0.99;4.0;8.0;100.0;100.0;-29.0;1.0;29.91;1.0;0.0;0.0;1.0;781.8236901016112;130.48762498976603;;0;0
