TIME;AUD_FwsNumber;AUD_AlarmNumber;FCUALTSELOUT_simaplaw_a;FCUALTSELOUT_simaplaw_b;FCU_AltKnobIncrement;IR1OUT_a4_i_150_GPS_UTC_hours;IR1OUT_a4_i_150_GPS_UTC_minutes;IR1OUT_a4_i_150_GPS_UTC_seconds;BAP1ENGDOUT_simaplaw_a;BAP2ENGDOUT_simaplaw_b;B1FDENGDNCOUT_simaplaw_a;B1FDENGDNCOUT_simaplaw_b;BATHRENGDOUT;P_PEDALS_STEERING;P_THROTTLE_LEVER_ANGLE_ENGINE_1;P_THROTTLE_LEVER_ANGLE_ENGINE_2;P_THROTTLE_LEVER_ANGLE_ENGINE_3;P_THROTTLE_LEVER_ANGLE_ENGINE_4;P_LG_PANEL_ANTI_SKID_POSITION_SELECTED;P_LG_PANEL_GEAR_DOWN_REQUEST;P_LG_PANEL_GEAR_UP_REQUEST;P_LEFT_SIDESTICK_PITCH_CTRL;P_LEFT_SIDESTICK_ROLL_CTRL;P_RIGHT_SIDESTICK_PITCH_CTRL;P_RIGHT_SIDESTICK_ROLL_CTRL;P_LEFT_SIDESTICK_INSTINCTIVE_DISCONNECT;CKT_Engine1MasterLeverOn;CKT_Engine2MasterLeverOn;CKT_ThrustLeverAngle[0];CKT_ThrustLeverAngle[1];CKT_ThrustLeverAngle[2];CKT_ThrustLeverAngle[3];P_FLAPS_BOOLEAN_1;P_FLAPS_BOOLEAN_2;P_FLAPS_BOOLEAN_3;P_FLAPS_BOOLEAN_4;P_FLAPS_BOOLEAN_5;P_GLS_L_MASTER_WARNING_BUTTON_PUSHED;P_GLS_R_MASTER_WARNING_BUTTON_PUSHED;FCU_LeftBaroSetting;ALTFCU;FCGS_HdgTrkTargetToBeDisplayedOnFcu;FCUALTSELPROUT_simaplaw_a;FCULATSELPROUT_simaplaw_a;FCUMACHSELOUT_simaplaw_a;FCUMODEOUT_simaplaw_a;FCURANGEOUT_simaplaw_a;FCUSPDSELOUT_simaplaw_a;FCUSPDSELPROUT_simaplaw_a;FCU_AltRateSelector;FCU_RightBaroSetting;FCU_AdaptRangeCpt20Nm;FCU_AdaptRangeCpt40Nm;FCU_AdaptRangeFo10Nm;FCU_AdaptRangeFo20Nm;ALTITUDE;SPEED;AOI;AlarmActive;Action
1018.36;0.0;0.0;3000.0;3000.0;0.0;10.0;30.0;24.0;1.0;1.0;1.0;1.0;1.0;0.53083;0.07498200000000001;0.08569299999999999;0.10712;-0.032135000000000004;1.0;1.0;0.0;-0.07961599999999999;-0.055179;-0.06690700000000001;0.034555;0.0;0.0;1.0;0.0;0.0;34.946999999999996;34.946999999999996;1.0;0.0;0.0;0.0;1.0;0.0;0.0;29.91;3000.0;29.0;30.0;29.0;1.0;4.0;8.0;145.0;145.0;1.0;29.91;1.0;0.0;0.0;1.0;1595.9529972596897;140.35538854297982;;0;0
1018.37;0.0;0.0;3000.0;3000.0;0.0;10.0;30.0;24.0;1.0;1.0;1.0;1.0;1.0;0.52455;0.07498200000000001;0.07498200000000001;0.042847;-0.010712000000000001;1.0;1.0;0.0;-0.041549;-0.036035000000000005;-0.06690700000000001;0.033444;0.0;0.0;1.0;0.0;0.0;34.946999999999996;34.946999999999996;1.0;0.0;0.0;0.0;1.0;0.0;0.0;29.91;3000.0;29.0;30.0;29.0;1.0;4.0;8.0;145.0;145.0;1.0;29.91;1.0;0.0;0.0;1.0;1595.8480269085194;140.3550337120447;;0;0
1018.38;0.0;0.0;3000.0;3000.0;0.0;10.0;30.0;24.0;1.0;1.0;1.0;1.0;1.0;0.52769;0.07498200000000001;0.08569299999999999;0.16068;-0.053558;1.0;1.0;0.0;-0.08884500000000001;-0.031531;-0.06806;0.034555;0.0;0.0;1.0;0.0;0.0;34.946999999999996;34.946999999999996;1.0;0.0;0.0;0.0;1.0;0.0;0.0;29.91;3000.0;29.0;30.0;29.0;1.0;4.0;8.0;145.0;145.0;1.0;29.91;1.0;0.0;0.0;1.0;1595.743062448974;140.35467905421422;;0;0
1018.39;0.0;0.0;3000.0;3000.0;0.0;10.0;30.0;24.0;1.0;1.0;1.0;1.0;1.0;0.53083;0.053558;0.07498200000000001;0.053558;0.0;1.0;1.0;0.0;-0.086538;-0.046169999999999996;-0.06690700000000001;0.034555;0.0;0.0;1.0;0.0;0.0;34.946999999999996;34.946999999999996;1.0;0.0;0.0;0.0;1.0;0.0;0.0;29.91;3000.0;29.0;30.0;29.0;1.0;4.0;8.0;145.0;145.0;1.0;29.91;1.0;0.0;0.0;1.0;1595.6381038813206;140.3543245694946;;0;0
1018.4;0.0;0.0;3000.0;3000.0;0.0;10.0;30.0;24.0;1.0;1.0;1.0;1.0;1.0;0.53083;0.08569299999999999;0.07498200000000001;0.13925;-0.042847;1.0;1.0;0.0;-0.041549;-0.013512999999999999;-0.06690700000000001;0.034555;0.0;0.0;1.0;0.0;0.0;34.946999999999996;34.946999999999996;1.0;0.0;0.0;0.0;1.0;0.0;0.0;29.91;3000.0;29.0;30.0;29.0;1.0;4.0;8.0;145.0;145.0;1.0;29.91;1.0;0.0;0.0;1.0;1595.5331512058285;140.3539702578921;;0;0
1018.41;0.0;0.0;3000.0;3000.0;0.0;10.0;30.0;24.0;1.0;1.0;1.0;1.0;1.0;0.53083;0.042847;0.07498200000000001;0.021422999999999998;0.0;1.0;1.0;0.0;-0.041549;-0.036035000000000005;-0.06575299999999999;0.034555;0.0;0.0;1.0;0.0;0.0;34.946999999999996;34.946999999999996;1.0;0.0;0.0;0.0;1.0;0.0;0.0;29.91;3000.0;29.0;30.0;29.0;1.0;4.0;8.0;145.0;145.0;1.0;29.91;1.0;0.0;0.0;1.0;1595.4282044227634;140.35361611941292;;0;0
1018.42;0.0;0.0;3000.0;3000.0;0.0;10.0;30.0;24.0;1.0;1.0;1.0;1.0;1.0;0.53398;0.08569299999999999;0.07498200000000001;0.1821;-0.053558;1.0;1.0;0.0;-0.09807300000000001;-0.055179;-0.06690700000000001;0.035666;0.0;0.0;1.0;0.0;0.0;34.946999999999996;34.946999999999996;1.0;0.0;0.0;0.0;1.0;0.0;0.0;29.91;3000.0;29.0;30.0;29.0;1.0;4.0;8.0;145.0;145.0;1.0;29.91;1.0;0.0;0.0;1.0;1595.3232635323934;140.3532621540633;;0;0
1018.43;0.0;0.0;3000.0;3000.0;0.0;10.0;30.0;24.0;1.0;1.0;1.0;1.0;1.0;0.53083;0.07498200000000001;0.08569299999999999;0.053558;-0.010712000000000001;1.0;1.0;0.0;-0.050776999999999996;-0.036035000000000005;-0.069214;0.035666;0.0;0.0;1.0;0.0;0.0;34.946999999999996;34.946999999999996;1.0;0.0;0.0;0.0;1.0;0.0;0.0;29.91;3000.0;29.0;30.0;29.0;1.0;4.0;8.0;145.0;145.0;1.0;29.91;1.0;0.0;0.0;1.0;1595.2183285349859;140.35290836184942;;0;0
1018.44;0.0;0.0;3000.0;3000.0;0.0;10.0;30.0;24.0;1.0;1.0;1.0;1.0;1.0;0.53083;0.08569299999999999;0.07498200000000001;0.12854000000000002;-0.042847;1.0;1.0;0.0;-0.08999800000000001;0.0;-0.06690700000000001;0.035666;0.0;0.0;1.0;0.0;0.0;34.946999999999996;34.946999999999996;1.0;0.0;0.0;0.0;1.0;0.0;0.0;29.91;3000.0;29.0;30.0;29.0;1.0;4.0;8.0;145.0;145.0;1.0;29.91;1.0;0.0;0.0;1.0;1595.1133994308075;140.35255474277753;;0;0
1018.45;0.0;0.0;3000.0;3000.0;0.0;10.0;30.0;24.0;1.0;1.0;1.0;1.0;1.0;0.53083;0.053558;0.06427000000000001;0.042847;0.0;1.0;1.0;0.0;-0.060006;-0.032657;-0.06690700000000001;0.034555;0.0;0.0;1.0;0.0;0.0;34.946999999999996;34.946999999999996;1.0;0.0;0.0;0.0;1.0;0.0;0.0;29.91;3000.0;29.0;30.0;29.0;1.0;4.0;8.0;145.0;145.0;1.0;29.91;1.0;0.0;0.0;1.0;1595.0084762201266;140.35220129685382;;0;0
